core_name,OD,ID,HT,AL1kHz,AL10kHz,AL100kHz
986545_SF7,9.8,6.5,4.5,22.4,19.6,3.1
110705_SF7,11,7,5,27.4,24,3.8
120805_SF7,12,8,4.5,22.2,19.4,3
141005_SF7,14,10,5,20.5,18,2.8
161108_SF7,16,11,8,36.5,31.9,5
181305_SF7,18.5,13,5,21.5,18.8,3
181108_SF7,18,11,8,47.6,41.6,6.5
181110_SF7,18,11,10,59.5,52,8.2
191005_SF7,19,10,5,38.2,33.5,5.3
201205_SF7,20,12,5,30.8,27,4.2
201206_SF7,20,12,6,34.1,29.9,4.7
201208_SF7,20,12,8,49.3,43.1,6.8
201210_SF7,20,12,10,61.6,53.9,8.5
211610_SF7,21,16,10,33.3,29.1,4.6
261610_SF7,26,16,10,58.7,51.3,8.1
261910_SF7,26,19,10,38.3,33.5,5.3
302010_SF7,30,20,10,49.3,43.1,6.8
302015_SF7,30,20,15,73.9,64.7,10.2
302020_SF7,30,20,20,98.6,86.2,13.6
322010_SF7,32,20,10,56.9,49.8,7.8
322015_SF7,32,20,15,85.3,74.6,11.7
332310_SF7,33,23,10,44,38.5,6.1
332315_SF7,33,23,15,66,57.8,9.1
332320_SF7,33,23,20,88,77,12.1
332325_SF7,33,23,25,110,96.3,15.1
383020_SF7,38,30,20,58,50.7,8
402510_SF7,40,25,10,56.9,49.8,7.8
402515_SF7,40,25,15,85.3,74.6,11.7
403215_SF7,40,32,15,41.1,35.9,5.6
503215_SF7,50,32,15,81.1,71,11.2
503220_SF7,50,32,20,108.2,94.7,14.9
504025_SF7,50,40,25,68.4,59.9,9.4
583820_SF7,58,38,20,102.7,89.8,14.1
603525_SF7,60,35,25,123.2,107.8,16.9
644020_SF7,64,40,20,113.7,99.5,15.6
655025_SF7,65,50,25,80.3,70.3,11
806015_SF7,80,60,15,142.2,124.4,19.5
906020_SF7,90,60,20,52.8,46.2,7.3
1008020_SF7,100,80,20,98.6,86.2,13.6
1108025_SF7,110,80,25,54.8,47.9,7.5
1158020_SF7,115,80,20,97.3,85.1,13.4
1158525_SF7,115,85,25,92.4,80.9,12.7
1208525_SF7,120,85,25,105.2,92,14.5
12010025_SF7,120,100,25,56,49,7.7
13010030_SF7,130,100,30,96.4,84.4,13.3
14010020_SF7,140,100,20,82.1,71.9,11.3
14010025_SF7,140,100,25,102.7,89.8,14.1
17012525_SF7,170,120,25,106.2,92.9,14.6
22219025_SF7,222,190,25,47.8,41.9,6.6
