core_name,OD,ID,HT,AL,core_loss_density
CH096125G,10.29,4.27,4.57,53,340
CH097125G,10.29,4.27,4.57,66,340
CH102125G,10.08,4.57,4.57,66,340
CH112125G,11.9,5.89,4.72,53,340
CH127125G,13.46,6.99,5.51,56,340
CH166125G,16.51,10.16,6.35,72,340
CH172125G,18.03,9.02,7.11,89,350
CH203125G,21.1,12.07,7.11,68,270
CH229125G,23.62,13.39,8.38,90,340
CH234125G,24.3,13.77,9.7,105,340
CH270125G,27.7,14.1,11.99,157,340
CH270125G18,27.7,14.1,19,253,340
CH330125G,33.83,19.3,11.61,127,340
CH343125G,35.2,22.6,9.83,79,340
CH358125G,36.7,21.5,11.28,117,340
CH400125G,40.7,23.3,15.37,168,80
CH467125G,47.6,23.3,18.92,281,80
CH468125G,47.6,27.9,16.13,178,80
CH508125G,51.7,30.9,14.35,152,80
CH571125G,58,25.6,16.1,287,80
CH572125G,58,34.7,14.86,156,80
CH610125G,63.1,31.37,26.27,400,80
CH740125G,75.2,44.07,36.27,429,80
CH777125G,78.9,48,13.97,142,80
CH778125G,78.9,48,17.2,178,80
CH1013125G,103.1,55.7,14.9,192,4
CH1016125G,103.1,55.7,17.8,228,4
CH1027125G,103.1,55.7,28.5,384,4
CH1033125G,103.1,55.7,34.3,456,4
CH1320125G,134.2,77,21.7,259,4
CH1325125G,134.2,77,26.8,325,4
CH1333125G,134.2,77,34.4,422,4
CH1340125G,134.2,77,42,518,4
CH1625125G,167.2,86.9,27.3,384,4
